NPI,Payment_Type,Total_Payment_USDollars,Interaction
1710971700.0,In-kind items and services,1280457.16,3
1710971684.0,Cash or cash equivalent,210342.33000000002,27
1710970561.0,Cash or cash equivalent,96605.0,13
1710970561.0,In-kind items and services,1604.28,1
1710969688.0,Cash or cash equivalent,58104.8,14
1710969688.0,In-kind items and services,3200.42,6
1710969266.0,Cash or cash equivalent,35206.26,12
1710969266.0,In-kind items and services,772.4499999999999,21
1710968730.0,Cash or cash equivalent,82609.78,18
1710968219.0,Cash or cash equivalent,4191530.21,168
1710968219.0,In-kind items and services,602403.46,35
1710967823.0,Cash or cash equivalent,582563.35,21
1710967070.0,Cash or cash equivalent,5533.25,3
1710966510.0,Cash or cash equivalent,1771520.11,162
1710966510.0,In-kind items and services,4278.3,5
1710966114.0,Cash or cash equivalent,329356.3,19
1710964960.0,Cash or cash equivalent,9958.25,5
1710962659.0,Cash or cash equivalent,421909.31,37
1710962659.0,In-kind items and services,395921.58,50
1710961917.0,Cash or cash equivalent,30521.38,35
1710961917.0,In-kind items and services,11915.52,1
1710961602.0,Cash or cash equivalent,195968.88,54
1710961602.0,In-kind items and services,26.28,1
1710961347.0,Cash or cash equivalent,17220.0,4
1710960687.0,Cash or cash equivalent,31679.2,3
1710960687.0,In-kind items and services,8974.02,3
1710959770.0,Cash or cash equivalent,186137.0,1
1710959762.0,Cash or cash equivalent,50282.87,40
1710959739.0,Cash or cash equivalent,1486.04,2
1710957501.0,Cash or cash equivalent,109027.93,5
1710957501.0,In-kind items and services,210.68,1
1710957311.0,Cash or cash equivalent,600310.35,123
1710957311.0,In-kind items and services,7544.280000000001,2
1710957030.0,Cash or cash equivalent,65504.8,1
1710956347.0,Cash or cash equivalent,12000.0,1
1710956040.0,Cash or cash equivalent,14490.5,10
1710954391.0,Cash or cash equivalent,2659.92,2
1710954391.0,In-kind items and services,33140.78,4
1710954052.0,Cash or cash equivalent,36836.5,1
1710953989.0,In-kind items and services,9076.99,1
1710953419.0,Cash or cash equivalent,11700.0,1
1710953419.0,In-kind items and services,1421.66,2
1710951751.0,Cash or cash equivalent,364.0,1
1710951751.0,In-kind items and services,691.56,1
1710951470.0,Cash or cash equivalent,21967.0,17
1710950589.0,Cash or cash equivalent,23191.44,47
1710949920.0,Cash or cash equivalent,342528.43,45
1710949920.0,In-kind items and services,328204.73000000004,5
1710949144.0,Cash or cash equivalent,1300.0,1
1710948930.0,In-kind items and services,2.0,1
1710948914.0,Cash or cash equivalent,36977.6,2
1710948914.0,In-kind items and services,168.02,1
1710948617.0,Cash or cash equivalent,69885.01,3
1710948617.0,In-kind items and services,200.45,1
1710947783.0,Cash or cash equivalent,1000.0,1
1710945605.0,Cash or cash equivalent,19790.0,10
1710945340.0,Cash or cash equivalent,147291.28,32
1710945340.0,In-kind items and services,7066.38,3
1710945068.0,Cash or cash equivalent,130452.31,10
1710945068.0,In-kind items and services,110.0,3
1710944756.0,Cash or cash equivalent,116547.92,36
1710944756.0,In-kind items and services,5358.0,4
1710944095.0,Cash or cash equivalent,4000.0,1
1710943535.0,Cash or cash equivalent,5462.25,1
1710942305.0,Cash or cash equivalent,1479111.05,61
1710942305.0,In-kind items and services,1660.85,3
1710939855.0,Cash or cash equivalent,159924.53,10
1710939848.0,In-kind items and services,2470.81,3
1710939384.0,Cash or cash equivalent,42998.67,2
1710938519.0,Cash or cash equivalent,10887.5,1
1710935739.0,Cash or cash equivalent,1070144.17,174
1710935739.0,In-kind items and services,187.21,1
1710934724.0,Cash or cash equivalent,59351.8,3
1710934450.0,Cash or cash equivalent,70846.9,12
1710934450.0,In-kind items and services,87737.76,4
1710934443.0,Cash or cash equivalent,18391.22,1
1710932884.0,Cash or cash equivalent,52080.0,2
1710932561.0,Cash or cash equivalent,631696.31,105
1710932561.0,In-kind items and services,444.51,2
1710931449.0,Cash or cash equivalent,35544.0,7
1710931449.0,In-kind items and services,4046.73,7
1710931027.0,Cash or cash equivalent,322901.58,36
1710931027.0,In-kind items and services,665.04,1
1710930607.0,Cash or cash equivalent,153742.5,81
1710930029.0,Cash or cash equivalent,1470.0,1
1710928882.0,Cash or cash equivalent,903787.0,9
1710928882.0,In-kind items and services,29510.7,9
1710928759.0,Cash or cash equivalent,29903.0,2
1710927892.0,Cash or cash equivalent,62020.33,2
1710927470.0,Cash or cash equivalent,12132.46,8
1710927470.0,In-kind items and services,3543.48,12
1710927009.0,Cash or cash equivalent,46804.0,16
1710924238.0,Cash or cash equivalent,101035.67,47
1710922067.0,Cash or cash equivalent,2562.0,4
1710921770.0,Cash or cash equivalent,1679.0,3
1710921739.0,Cash or cash equivalent,91560.05,5
1710920400.0,Cash or cash equivalent,57702.81,11
1710917232.0,Cash or cash equivalent,68208.0,6
1710916077.0,Cash or cash equivalent,185865.58,3
1710915541.0,Cash or cash equivalent,121370.86,11
1710914528.0,Cash or cash equivalent,51718.0,3
1710914239.0,Cash or cash equivalent,1272.0,1
1710913249.0,Cash or cash equivalent,496.94,1
1710913223.0,Cash or cash equivalent,140327.05,8
1710913223.0,In-kind items and services,813.51,1
1710912431.0,Cash or cash equivalent,4868.82,1
1710911755.0,Cash or cash equivalent,7172.0,2
1710911755.0,In-kind items and services,201.0,1
1710911219.0,Cash or cash equivalent,24669.0,10
1710911219.0,In-kind items and services,25026.85,2
1710910740.0,Cash or cash equivalent,97564.36,21
1710910740.0,In-kind items and services,74300.47,2
1710907357.0,Cash or cash equivalent,53435.7,22
1710906391.0,Cash or cash equivalent,47893.05,36
1710905377.0,Cash or cash equivalent,9603.0,1
1710904628.0,Cash or cash equivalent,1661.31,1
1710902689.0,Cash or cash equivalent,87865.69,52
1710902382.0,Cash or cash equivalent,38641.21,1
1710901889.0,Cash or cash equivalent,128295.7,12
1710901889.0,In-kind items and services,86821.27,5
1710901277.0,Cash or cash equivalent,47885.59,1
1710503412.0,Cash or cash equivalent,6180.0,1
1710484167.0,Cash or cash equivalent,20346.0,4
1710461546.0,Cash or cash equivalent,30179.95,3
1710416375.0,Cash or cash equivalent,11847389.4,39
1710416375.0,In-kind items and services,25381.39,1
1710399860.0,Cash or cash equivalent,683410.14,22
1710397880.0,Cash or cash equivalent,18400.0,2
1710397880.0,In-kind items and services,168420.0,2
1710392477.0,Cash or cash equivalent,227707.6,8
1710390778.0,Cash or cash equivalent,43440.1,2
1710387642.0,Cash or cash equivalent,40000.0,1
1710374889.0,Cash or cash equivalent,27248.0,4
1710374889.0,In-kind items and services,2495.0,1
1710374467.0,Cash or cash equivalent,18340.13,1
1710371083.0,Cash or cash equivalent,3000.0,1
1710360953.0,Cash or cash equivalent,85733.74,23
1710341714.0,Cash or cash equivalent,15885.59,3
1710340369.0,Cash or cash equivalent,118808.61,14
1710340369.0,In-kind items and services,999277.29,1
1710336003.0,In-kind items and services,216.01,4
1710333943.0,Cash or cash equivalent,24247.1,9
1710320056.0,Cash or cash equivalent,76119.4,2
1710320056.0,In-kind items and services,7936.88,3
1710314836.0,Cash or cash equivalent,9605.13,20
1710307517.0,Cash or cash equivalent,38920.840000000004,10
1710306881.0,Cash or cash equivalent,12727.0,3
1710306642.0,Cash or cash equivalent,21850.0,5
1710305180.0,Cash or cash equivalent,16517.0,2
1710299482.0,Cash or cash equivalent,349762.26,25
1710299482.0,In-kind items and services,302930.33,4
1710295019.0,Cash or cash equivalent,416451.0,10
1710290192.0,Cash or cash equivalent,38707.99,4
1710284393.0,Cash or cash equivalent,434097.6,53
1710284393.0,In-kind items and services,142.0,1
1710277751.0,Cash or cash equivalent,18400.0,1
1710277751.0,In-kind items and services,1935.44,1
1710275599.0,Cash or cash equivalent,289360.14,3
1710275599.0,In-kind items and services,41956.560000000005,3
1710274386.0,Cash or cash equivalent,43843.549999999996,27
1710273743.0,Cash or cash equivalent,20662.0,1
1710272042.0,Cash or cash equivalent,45142.5,13
1710271895.0,Cash or cash equivalent,23235.1,2
1710271341.0,Cash or cash equivalent,2260.0,2
1710270384.0,Cash or cash equivalent,72253.0,1
1710253992.0,Cash or cash equivalent,17230.33,15
1710253992.0,In-kind items and services,9.3,1
1710250899.0,Cash or cash equivalent,19303.9,1
1710250899.0,In-kind items and services,1777.3899999999999,2
1710249917.0,Cash or cash equivalent,187.2,1
1710249917.0,In-kind items and services,11367.150000000001,2
1710244835.0,Cash or cash equivalent,241401.62,15
1710244835.0,In-kind items and services,196680.0,6
1710244173.0,Cash or cash equivalent,9400.0,1
1710240718.0,Cash or cash equivalent,9155.2,2
1710235643.0,Cash or cash equivalent,27769.81,1
1710232582.0,Cash or cash equivalent,16750.0,1
1710231006.0,In-kind items and services,91611.24,1
1710229224.0,Cash or cash equivalent,150308.0,2
1710229224.0,In-kind items and services,131.37,1
1710226758.0,Cash or cash equivalent,33125.0,1
1710220975.0,Cash or cash equivalent,18568.13,2
1710218011.0,Cash or cash equivalent,809422.91,146
1710218011.0,In-kind items and services,2269008.85,25
1710212113.0,Cash or cash equivalent,10000.0,2
1710210679.0,Cash or cash equivalent,14965.27,10
1710205984.0,Cash or cash equivalent,77261.3,20
1710204466.0,Cash or cash equivalent,11547.0,3
1710204334.0,Cash or cash equivalent,307761.0,21
1710203229.0,Cash or cash equivalent,237626.0,73
1710201280.0,Cash or cash equivalent,2300650.27,35
1710201280.0,In-kind items and services,2272991.02,45
1710197330.0,Cash or cash equivalent,179685.06,16
1710197330.0,In-kind items and services,2193.31,1
1710196894.0,Cash or cash equivalent,61274.979999999996,12
1710196290.0,Cash or cash equivalent,6600.0,2
1710196100.0,Cash or cash equivalent,18260.11,6
1710195383.0,Cash or cash equivalent,25376.0,1
1710194881.0,Cash or cash equivalent,33442.0,4
1710194881.0,In-kind items and services,2708282.4000000004,3
1710192489.0,Cash or cash equivalent,21873.0,1
1710192489.0,In-kind items and services,3588.94,1
1710191275.0,In-kind items and services,52.2,1
1710189543.0,Cash or cash equivalent,805060.55,43
1710189543.0,In-kind items and services,2358.9,2
1710188891.0,Cash or cash equivalent,3303.01,1
1710188248.0,Cash or cash equivalent,19581.35,2
1710187224.0,Cash or cash equivalent,1123932.65,215
1710187224.0,In-kind items and services,159394.96,15
1710187018.0,Cash or cash equivalent,25194.45,1
1710185525.0,Cash or cash equivalent,43122.57,4
1710183090.0,Cash or cash equivalent,12898.0,3
1710181318.0,Cash or cash equivalent,340559.03,18
1710180781.0,Cash or cash equivalent,143116.37,12
1710180781.0,In-kind items and services,44887.12,3
1710178702.0,Cash or cash equivalent,548319.23,85
1710178702.0,In-kind items and services,7406.700000000001,4
1710173794.0,Cash or cash equivalent,5224.0,1
1710171061.0,Cash or cash equivalent,141427.78,9
1710171061.0,In-kind items and services,287.82,1
1710167002.0,Cash or cash equivalent,3320.0,1
1710167002.0,In-kind items and services,6717.56,1
1710166244.0,Cash or cash equivalent,117011.0,4
1710163357.0,Cash or cash equivalent,80041.94,2
1710157714.0,Cash or cash equivalent,61485.93,4
1710156807.0,Cash or cash equivalent,20294.8,17
1710152186.0,Cash or cash equivalent,189440.0,2
1710151303.0,Cash or cash equivalent,10543.0,1
1710149752.0,Cash or cash equivalent,53999.29,5
1710148499.0,Cash or cash equivalent,522311.83,98
1710148499.0,In-kind items and services,22874.69,7
1710146618.0,Cash or cash equivalent,24519.5,1
1710144878.0,Cash or cash equivalent,14781.0,2
1710143847.0,Cash or cash equivalent,94685.88,6
1710142070.0,Cash or cash equivalent,149782.63,24
1710142070.0,In-kind items and services,1641.3999999999999,2
1710140272.0,Cash or cash equivalent,543001.66,72
1710133657.0,Cash or cash equivalent,106290.9,17
1710131537.0,Cash or cash equivalent,17912.0,5
1710131537.0,In-kind items and services,2487.9500000000003,4
1710129986.0,Cash or cash equivalent,2841.6,3
1710129341.0,Cash or cash equivalent,121083.43,19
1710129341.0,In-kind items and services,75.0,1
1710123088.0,Cash or cash equivalent,55608.6,22
1710123088.0,In-kind items and services,286698.5,2
1710121165.0,Cash or cash equivalent,1972.0,1
1710120829.0,Cash or cash equivalent,16502.06,41
1710117288.0,Cash or cash equivalent,1360411.7,35
1710117288.0,In-kind items and services,68547.27,8
1710115159.0,Cash or cash equivalent,162479.33,7
1710109608.0,Cash or cash equivalent,44658.6,78
1710103536.0,Cash or cash equivalent,31583.0,13
1710103080.0,Cash or cash equivalent,16027.0,3
1710103080.0,In-kind items and services,2470.81,4
1710098546.0,Cash or cash equivalent,5234.0,5
1710098215.0,Cash or cash equivalent,105475.19,6
1710097795.0,Cash or cash equivalent,15768.9,11
1710094511.0,Cash or cash equivalent,21986.7,13
1710094065.0,Cash or cash equivalent,1300.0,1
1710093695.0,Cash or cash equivalent,87889.97,11
1710093083.0,Cash or cash equivalent,4218.0,9
1710092648.0,Cash or cash equivalent,291877.51,19
1710091806.0,Cash or cash equivalent,1960.0,5
1710089412.0,Cash or cash equivalent,3500.0,1
1710088505.0,Cash or cash equivalent,8572.2,6
1710088026.0,Cash or cash equivalent,20000.0,1
1710086152.0,Cash or cash equivalent,10707.93,13
1710079645.0,Cash or cash equivalent,40960.26,22
1710078654.0,Cash or cash equivalent,53610.0,21
1710077151.0,Cash or cash equivalent,5576.12,2
1710075536.0,Cash or cash equivalent,21606.370000000003,3
1710074893.0,Cash or cash equivalent,400254.35,16
1710074885.0,Cash or cash equivalent,699604.39,41
1710074885.0,In-kind items and services,29476.62,1
1710074828.0,Cash or cash equivalent,85543.0,19
1710073994.0,Cash or cash equivalent,22792.0,56
1710072624.0,Cash or cash equivalent,223171.77,33
1710072624.0,In-kind items and services,15760.0,1
1710071691.0,Cash or cash equivalent,22320.4,27
1710071204.0,Cash or cash equivalent,153025.96,2
1710071204.0,In-kind items and services,5400929.43,3
1710070123.0,Cash or cash equivalent,72844.39,199
1710069810.0,Cash or cash equivalent,766311.28,26
1710069810.0,In-kind items and services,800.0,1
1710069190.0,Cash or cash equivalent,13500.0,3
1710062732.0,Cash or cash equivalent,7085.0,3
1710062732.0,In-kind items and services,13975.92,2
1710062526.0,Cash or cash equivalent,20878.16,2
1710062526.0,In-kind items and services,685823.22,1
1710059894.0,Cash or cash equivalent,7371.0,4
1710057369.0,Cash or cash equivalent,14640.0,1
1710056577.0,Cash or cash equivalent,86626.8,12
1710054861.0,Cash or cash equivalent,3100.0,1
1710054861.0,In-kind items and services,499.2,1
1710052931.0,Cash or cash equivalent,128210.82,13
1710052865.0,Cash or cash equivalent,545374.74,49
1710052212.0,Cash or cash equivalent,36687.08,7
1710043013.0,Cash or cash equivalent,64687.5,2
1710041736.0,Cash or cash equivalent,44092.03,3
1710040589.0,Cash or cash equivalent,259956.72999999998,12
1710040589.0,In-kind items and services,4070.0,2
1710039045.0,Cash or cash equivalent,355397.48,21
1710039045.0,In-kind items and services,8279.06,3
1710038229.0,Cash or cash equivalent,414.0,1
1710036850.0,Cash or cash equivalent,29601.2,28
1710034129.0,Cash or cash equivalent,140441.36000000002,128
1710030671.0,In-kind items and services,106368.48,2
1710030473.0,Cash or cash equivalent,15871.36,2
1710023536.0,Cash or cash equivalent,237471.13,6
1710023536.0,In-kind items and services,449075.4,3
1710023098.0,Cash or cash equivalent,6570428.85,85
1710023098.0,In-kind items and services,67800.53,9
1710021175.0,In-kind items and services,20407.53,1
1710009642.0,Cash or cash equivalent,4643.0,2
1710009642.0,In-kind items and services,51.46,1
1710007125.0,Cash or cash equivalent,171000.0,6
1710006820.0,Cash or cash equivalent,805092.31,123
1710006820.0,In-kind items and services,520.0,9
1710004866.0,Cash or cash equivalent,1443822.14,20
1710004866.0,In-kind items and services,9761.82,3
1700999166.0,Cash or cash equivalent,646.0,1
1700999067.0,Cash or cash equivalent,51938.0,2
1700999067.0,In-kind items and services,47128.0,1
1700998135.0,Cash or cash equivalent,2261.0,1
1700995446.0,Cash or cash equivalent,616205.4,64
1700995446.0,In-kind items and services,40227.71,13
1700994548.0,Cash or cash equivalent,109644.63,7
1700994548.0,In-kind items and services,9848.24,1
1700993870.0,Cash or cash equivalent,27236.5,5
1700993870.0,In-kind items and services,39304.8,1
1700992583.0,Cash or cash equivalent,302337.46,54
1700992583.0,In-kind items and services,181643.48,3
1700992054.0,Cash or cash equivalent,109168.71,16
1700992054.0,In-kind items and services,28915.010000000002,3
1700991296.0,Cash or cash equivalent,280768.0,6
1700991106.0,Cash or cash equivalent,1000.0,1
1700983574.0,Cash or cash equivalent,24257.98,19
1700980307.0,Cash or cash equivalent,448939.06,95
1700980307.0,In-kind items and services,420.92,1
1700979275.0,Cash or cash equivalent,216649.97,7
1700979275.0,In-kind items and services,8082.639999999999,2
1700976974.0,Cash or cash equivalent,45837.3,2
1700976313.0,Cash or cash equivalent,83966.65,19
1700976073.0,Cash or cash equivalent,90901.03,11
1700975398.0,Cash or cash equivalent,11775.0,5
1700973898.0,Cash or cash equivalent,2448.0,4
1700973682.0,Cash or cash equivalent,151954.0,1
1700973682.0,In-kind items and services,3112.51,1
1700973633.0,Cash or cash equivalent,22728.0,3
1700973633.0,In-kind items and services,26.1,1
1700973310.0,Cash or cash equivalent,4983.0,3
1700972494.0,Cash or cash equivalent,8676726.04,136
1700972494.0,In-kind items and services,32145.27,5
1700971421.0,Cash or cash equivalent,16883.87,1
1700971421.0,In-kind items and services,202253.04,1
1700970498.0,Cash or cash equivalent,52859.34,6
1700970282.0,Cash or cash equivalent,683888.92,195
1700970282.0,In-kind items and services,7430.82,5
1700968880.0,Cash or cash equivalent,54848.66,20
1700968740.0,Cash or cash equivalent,29427.96,11
1700968740.0,In-kind items and services,30.0,2
1700968617.0,Cash or cash equivalent,4911.52,1
1700968401.0,Cash or cash equivalent,10049376.48,523
1700968401.0,In-kind items and services,87696.85,26
1700968237.0,Cash or cash equivalent,54132.61,26
1700968229.0,Cash or cash equivalent,44176.5,5
1700964384.0,Cash or cash equivalent,7368.3,1
1700962677.0,Cash or cash equivalent,494863.44,12
1700962677.0,In-kind items and services,519662.59,6
1700961620.0,Cash or cash equivalent,262260.57,1
1700961430.0,Cash or cash equivalent,194182.14,1
1700961430.0,In-kind items and services,5899.6,2
1700960812.0,Cash or cash equivalent,86434.0,1
1700960671.0,Cash or cash equivalent,345001.53,36
1700960671.0,In-kind items and services,15992.06,2
1700960499.0,Cash or cash equivalent,12657.84,1
1700956620.0,Cash or cash equivalent,1640.6,1
1700956521.0,Cash or cash equivalent,54290.0,3
1700956406.0,Cash or cash equivalent,775953.33,18
1700956406.0,In-kind items and services,32524.34,24
1700952405.0,Cash or cash equivalent,500.0,1
1700947256.0,Cash or cash equivalent,100786.75,19
1700947009.0,Cash or cash equivalent,500.0,1
1700943008.0,Cash or cash equivalent,314924.97000000003,43
1700941671.0,Cash or cash equivalent,44645.0,33
1700941309.0,Cash or cash equivalent,66059.86,7
1700938180.0,Cash or cash equivalent,3783171.19,64
1700938180.0,In-kind items and services,1368489.6900000002,3
1700930120.0,Cash or cash equivalent,260074.75,1
1700923752.0,Cash or cash equivalent,239456.71,4
1700922879.0,Cash or cash equivalent,177229.52000000002,7
1700922879.0,In-kind items and services,74160.0,15
1700920139.0,Cash or cash equivalent,6252.0,2
1700919016.0,Cash or cash equivalent,5000.0,1
1700912318.0,Cash or cash equivalent,9050.0,2
1700909744.0,Cash or cash equivalent,239766.72,8
1700909702.0,Cash or cash equivalent,152462.07,18
1700909702.0,In-kind items and services,277974.56,4
1700907276.0,Cash or cash equivalent,32966.5,28
1700907276.0,In-kind items and services,444305.88,6
1700904182.0,Cash or cash equivalent,107750.75,6
1700904182.0,In-kind items and services,65.0,2
1700903242.0,Cash or cash equivalent,514230.93,61
1700903242.0,In-kind items and services,19965.27,5
1700897022.0,Cash or cash equivalent,6887930.11,311
1700897022.0,In-kind items and services,56272.68,48
1700896636.0,Cash or cash equivalent,131197.93,43
1700896636.0,In-kind items and services,6159.94,1
1700896206.0,Cash or cash equivalent,1628280.71,52
1700896206.0,In-kind items and services,11793.5,2
1700895638.0,Cash or cash equivalent,44941.25,1
1700895083.0,Cash or cash equivalent,1000.0,1
1700893864.0,Cash or cash equivalent,336215.57,68
1700893864.0,In-kind items and services,7261.200000000001,3
1700893625.0,Cash or cash equivalent,438870.9,83
1700893625.0,In-kind items and services,154236.62,9
1700893294.0,Cash or cash equivalent,2051923.54,63
1700893294.0,In-kind items and services,16302.52,8
1700893005.0,Cash or cash equivalent,253061.47,6
1700893005.0,In-kind items and services,145463.4,1
1700892502.0,Cash or cash equivalent,63254.16,12
1700892502.0,In-kind items and services,391080.0,3
1700892445.0,Cash or cash equivalent,45234.96,1
1700891298.0,Cash or cash equivalent,21787.0,8
1700890027.0,Cash or cash equivalent,99478.25,219
1700889201.0,Cash or cash equivalent,2187.0,1
1700888971.0,Cash or cash equivalent,576.05,1
1700888401.0,Cash or cash equivalent,22228.5,15
1700888039.0,Cash or cash equivalent,21703.32,16
1700886702.0,Cash or cash equivalent,268971.23000000004,16
1700885753.0,Cash or cash equivalent,1855333.3800000001,284
1700884848.0,Cash or cash equivalent,435205.13,20
1700883816.0,Cash or cash equivalent,183703.50999999998,7
1700882123.0,Cash or cash equivalent,245459.05,22
1700881802.0,Cash or cash equivalent,94883.03,30
1700881802.0,In-kind items and services,596.0,1
1700881422.0,Cash or cash equivalent,842863.32,47
1700881422.0,In-kind items and services,504944.85000000003,13
1700881059.0,Cash or cash equivalent,83748.8,7
1700879186.0,Cash or cash equivalent,4387.0,9
1700878410.0,In-kind items and services,4410.52,7
1700877982.0,Cash or cash equivalent,523492.41,38
1700877982.0,In-kind items and services,9300.08,6
1700877834.0,Cash or cash equivalent,99000.0,1
1700876273.0,Cash or cash equivalent,5002.75,8
1700875606.0,Cash or cash equivalent,15477.529999999999,4
1700874948.0,Cash or cash equivalent,493016.79,53
1700874799.0,Cash or cash equivalent,1500.0,1
1700874740.0,Cash or cash equivalent,960.0,3
1700874716.0,Cash or cash equivalent,262868.79,32
1700874294.0,Cash or cash equivalent,4889.75,3
1700874138.0,Cash or cash equivalent,4970.0,4
1700873247.0,Cash or cash equivalent,71769.98,1
1700869997.0,Cash or cash equivalent,4789.46,2
1700868262.0,In-kind items and services,409.2,1
1700868080.0,Cash or cash equivalent,14570.5,10
1700867587.0,Cash or cash equivalent,1511.0,6
1700866951.0,Cash or cash equivalent,1800.0,1
1700864741.0,Cash or cash equivalent,265413.14,4
1700864741.0,In-kind items and services,50594.590000000004,3
1700864626.0,Cash or cash equivalent,500.0,1
1700864089.0,Cash or cash equivalent,103272.9,14
1700864089.0,In-kind items and services,0.75,1
1700863990.0,Cash or cash equivalent,42500.0,3
1700863990.0,In-kind items and services,195327.3,4
1700863826.0,Cash or cash equivalent,95383.48,11
1700863677.0,Cash or cash equivalent,4300.0,4
1700863628.0,Cash or cash equivalent,125066.5,73
1700862984.0,Cash or cash equivalent,232724.02,54
1700862109.0,Cash or cash equivalent,442016.77,5
1700861093.0,Cash or cash equivalent,47088.979999999996,12
1700860210.0,Cash or cash equivalent,12664.2,5
1700860210.0,In-kind items and services,16890.22,1
1700859980.0,Cash or cash equivalent,43061.52,7
1700859980.0,In-kind items and services,7435.0,2
1700859238.0,Cash or cash equivalent,31941.76,1
1700859238.0,In-kind items and services,682.63,1
1700858123.0,Cash or cash equivalent,72323.07,3
1700857471.0,Cash or cash equivalent,4971.74,6
1700857380.0,In-kind items and services,408.0,1
1700857331.0,Cash or cash equivalent,15282.0,18
1700856200.0,Cash or cash equivalent,20433.0,3
1700856200.0,In-kind items and services,48187.92,2
1700853876.0,Cash or cash equivalent,1920.0,1
1700853363.0,Cash or cash equivalent,34375.590000000004,9
1700853272.0,Cash or cash equivalent,1800.0,3
1700851789.0,Cash or cash equivalent,3000.0,1
1700850070.0,Cash or cash equivalent,15397.15,62
1700849239.0,Cash or cash equivalent,69824.4,1
1700848934.0,Cash or cash equivalent,114051.33,9
1700848934.0,In-kind items and services,889.9,1
1700848868.0,Cash or cash equivalent,144397.36,43
1700847860.0,Cash or cash equivalent,41725.5,5
1700847753.0,Cash or cash equivalent,33133.1,1
1700847597.0,Cash or cash equivalent,49578.479999999996,9
1700847464.0,Cash or cash equivalent,8645.5,6
1700847464.0,In-kind items and services,42600.0,1
1700847126.0,Cash or cash equivalent,1638.0,2
1700845559.0,Cash or cash equivalent,323148.9,131
1700845559.0,In-kind items and services,97464.0,4
1700844594.0,Cash or cash equivalent,2500.0,1
1700844594.0,In-kind items and services,3017.24,1
1700842267.0,Cash or cash equivalent,4540.0,4
1700840683.0,Cash or cash equivalent,192182.28,14
1700840683.0,In-kind items and services,383702.49,12
1700840493.0,Cash or cash equivalent,2135616.5,6
1700840493.0,In-kind items and services,19604.45,29
1700840378.0,Cash or cash equivalent,5514.0,1
1700839933.0,Cash or cash equivalent,32320.0,3
1700839362.0,Cash or cash equivalent,691901.37,99
1700839362.0,In-kind items and services,19059.910000000003,2
1700839057.0,Cash or cash equivalent,51640.15,6
1700838448.0,Cash or cash equivalent,113411.39,24
1700836582.0,Cash or cash equivalent,2967.0,9
1700835360.0,Cash or cash equivalent,144187.8,21
1700835071.0,Cash or cash equivalent,224491.06,1
1700833845.0,Cash or cash equivalent,22972.0,4
1700830353.0,Cash or cash equivalent,176751.0,48
1700830353.0,In-kind items and services,2440.15,1
1700829769.0,Cash or cash equivalent,100046.2,1
1700829769.0,In-kind items and services,1125.47,1
1700829249.0,Cash or cash equivalent,9206.0,10
1700829249.0,In-kind items and services,109742.72,10
1700828886.0,Cash or cash equivalent,5082800.73,45
1700828886.0,In-kind items and services,142397.44,5
1700827839.0,Cash or cash equivalent,21147.95,41
1700827482.0,Cash or cash equivalent,147912.66,84
1700827482.0,In-kind items and services,640.75,1
1700827177.0,Cash or cash equivalent,171577.0,23
1700826922.0,Cash or cash equivalent,1020.0,2
1700824521.0,Cash or cash equivalent,48948.79,5
1700823846.0,Cash or cash equivalent,1291019.52,379
1700823846.0,In-kind items and services,30037.74,7
1700823796.0,Cash or cash equivalent,1552916.09,250
1700822574.0,Cash or cash equivalent,17266.25,1
1700822210.0,Cash or cash equivalent,795645.99,74
1700822210.0,In-kind items and services,36397.6,2
1700821857.0,Cash or cash equivalent,246042.14,1
1700821857.0,In-kind items and services,6049.04,1
1700820966.0,Cash or cash equivalent,235190.09,11
1700820339.0,Cash or cash equivalent,8700.0,3
1700818150.0,Cash or cash equivalent,92396.0,4
1700816667.0,Cash or cash equivalent,26659.1,8
1700815685.0,Cash or cash equivalent,2500.0,1
1700815685.0,In-kind items and services,9705.84,1
1700815677.0,Cash or cash equivalent,14700.0,1
1700814209.0,Cash or cash equivalent,487985.13,34
1700814209.0,In-kind items and services,158195.6,9
1700814118.0,Cash or cash equivalent,193456.75,33
1700814118.0,In-kind items and services,151980.0,6
1700813565.0,Cash or cash equivalent,21593.88,1
1700813391.0,Cash or cash equivalent,202922.58,39
1700813391.0,In-kind items and services,9600.0,1
1700811411.0,Cash or cash equivalent,91398.61,10
1700810991.0,In-kind items and services,107251.34,6
1700810165.0,Cash or cash equivalent,8713.0,4
1700810009.0,Cash or cash equivalent,319142.84,32
1700810009.0,In-kind items and services,42318.08,3
1700809753.0,Cash or cash equivalent,54510.0,23
1700808185.0,Cash or cash equivalent,250.0,1
1700806106.0,Cash or cash equivalent,2387821.8,21
1700806106.0,In-kind items and services,278046.91,4
1700805389.0,Cash or cash equivalent,28975.0,5
1700805223.0,Cash or cash equivalent,238504.67,45
1700805223.0,In-kind items and services,276498.20999999996,4
1700804820.0,Cash or cash equivalent,3525109.92,10
1700804820.0,In-kind items and services,20175.12,10
1700802220.0,Cash or cash equivalent,54171.34,5
1700802220.0,In-kind items and services,4789.82,2
1700801867.0,Cash or cash equivalent,121491.53,44
1700801669.0,Cash or cash equivalent,398121.66,53
1700445772.0,Cash or cash equivalent,17840.9,5
1700423282.0,Cash or cash equivalent,14861.25,4
1700382496.0,In-kind items and services,12716.78,8
